epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_healthy,f1_early,f1_late,lr,is_best,epoch_time_s
0,0.4208255143328147,0.8814285714285715,0.22196103756626448,0.9346666666666666,0.935531772400744,0.9613733905579399,0.9251439539347409,0.9200779727095516,0.001,1,32.91097617149353
1,0.1945191597396677,0.9385714285714286,0.10480867966543883,0.9653333333333334,0.9658298778641515,0.9830508474576272,0.9560229445506692,0.9584158415841584,0.001,1,30.841745853424072
2,0.12369870316575873,0.9614285714285714,0.09933737230797608,0.9733333333333334,0.9737386500823755,0.989517819706499,0.9642184557438794,0.967479674796748,0.001,1,30.142096757888794
3,0.1004372741307386,0.9671428571428572,0.1174277796720465,0.9653333333333334,0.9656500354174774,0.9767441860465116,0.9597069597069597,0.9604989604989606,0.001,0,29.2922625541687
4,0.09583030737597834,0.9674285714285714,0.0937227075919509,0.9653333333333334,0.965427736722731,0.973305954825462,0.9618320610687023,0.9611451942740287,0.001,0,29.42422389984131
5,0.0796057709238746,0.9697142857142858,0.12270875130586016,0.9733333333333334,0.9737085857492179,0.9895615866388309,0.9644859813084112,0.9670781893004116,0.001,0,29.053715467453003
6,0.0891640015708452,0.9714285714285714,0.0825846271084932,0.9733333333333334,0.9736039422826362,0.9895615866388309,0.967984934086629,0.963265306122449,0.001,0,28.89813995361328
7,0.043666114876131444,0.9848571428571429,0.08269186658920565,0.9786666666666667,0.978824195922222,0.9874476987447699,0.975609756097561,0.9734151329243353,0.0005,1,29.33363437652588
8,0.035907565253596244,0.9854285714285714,0.09612098073557718,0.9773333333333334,0.9775404147786126,0.9853862212943633,0.9714285714285714,0.9758064516129032,0.0005,0,29.775068044662476
9,0.02713927052311853,0.99,0.0984605934783455,0.9813333333333333,0.9815500012585265,0.9915966386554622,0.9774436090225563,0.975609756097561,0.0005,1,29.46447467803955
10,0.01563741567330329,0.9942857142857143,0.13196521105942338,0.984,0.9841581476407422,0.9915966386554622,0.981203007518797,0.9796747967479674,0.0005,1,29.368084192276
11,0.020417366140860725,0.992,0.14363780164467244,0.976,0.9761190148271988,0.9854469854469855,0.9735849056603774,0.9693251533742331,0.0005,0,29.506548166275024
12,0.02539200099629604,0.9902857142857143,0.08457985705172177,0.9773333333333334,0.977520160233219,0.9874476987447699,0.9736842105263158,0.9714285714285714,0.0005,0,29.040224313735962
13,0.025185317676302724,0.9902857142857143,0.0771383533331876,0.9813333333333333,0.9816357329382853,0.99581589958159,0.9751434034416826,0.9739478957915831,0.0005,0,28.898614645004272
14,0.01390660071099939,0.9942857142857143,0.10431658196160735,0.9853333333333333,0.9854971200203363,0.9916317991631799,0.9809885931558935,0.9838709677419355,0.0005,1,29.241502285003662
15,0.0124778885498844,0.994,0.14526527731062325,0.98,0.9802079265218809,0.9873417721518988,0.9752380952380952,0.9780439121756487,0.0005,0,32.46782207489014
16,0.01929204669114287,0.9945714285714286,0.11883344174711397,0.976,0.9763446495795857,0.989517819706499,0.967741935483871,0.9717741935483871,0.0005,0,29.102095127105713
17,0.00962172608851688,0.9968571428571429,0.13386278715006483,0.98,0.9803179646617354,0.9915611814345991,0.9736842105263158,0.9757085020242915,0.0005,0,29.39629626274109
18,0.020508086241104385,0.9931428571428571,0.12570037611294538,0.976,0.9763755182348395,0.9894736842105263,0.9682242990654205,0.9714285714285714,0.0005,0,28.94868564605713
19,0.010793585893274709,0.9968571428571429,0.11210315622635865,0.9773333333333334,0.9775861691882347,0.9895615866388309,0.9715370018975332,0.97165991902834,0.00025,0,29.583677053451538
20,0.00957962632396216,0.9965714285714286,0.12730073102319986,0.9826666666666667,0.9829752485568544,0.99581589958159,0.9753320683111955,0.9777777777777777,0.00025,0,29.018842220306396
21,0.013888472432352666,0.9968571428571429,0.11406902015642591,0.9813333333333333,0.9816007187341461,0.9915966386554622,0.975517890772128,0.9776876267748479,0.00025,0,29.096113681793213
